at,timestamp,hr,rr,act
2016-08-05 19:37,1470418629,78,21.7,36
2016-08-05 19:37,1470418631,75,22.1,62
2016-08-05 19:37,1470418633,64,22.7,60
2016-08-05 19:37,1470418635,49,23.2,56
2016-08-05 19:37,1470418637,42,23.7,56
2016-08-05 19:37,1470418639,42,24.2,40
2016-08-05 19:37,1470418641,42,24.5,212
2016-08-05 19:37,1470418643,42,24.8,160
2016-08-05 19:37,1470418645,42,25.2,59
2016-08-05 19:37,1470418647,42,25.5,79
2016-08-05 19:37,1470418649,46,25.5,33
2016-08-05 19:37,1470418651,57,25.5,73
2016-08-05 19:37,1470418653,72,25.5,58
2016-08-05 19:37,1470418655,80,25.2,60
2016-08-05 19:37,1470418657,80,25,31
2016-08-05 19:37,1470418659,80,25,67
2016-08-05 19:37,1470418661,79,24.8,50
2016-08-05 19:37,1470418663,78,24.5,37
2016-08-05 19:37,1470418665,79,24.5,148
2016-08-05 19:37,1470418667,80,24.3,800
2016-08-05 19:37,1470418669,80,24.2,345
2016-08-05 19:37,1470418671,80,24.1,92
2016-08-05 19:37,1470418673,80,24.1,62
2016-08-05 19:37,1470418675,80,24.1,78
2016-08-05 19:37,1470418677,80,24.1,57
2016-08-05 19:37,1470418679,80,24.1,52
2016-08-05 19:38,1470418681,80,24.1,62
2016-08-05 19:38,1470418683,80,24.1,45
2016-08-05 19:38,1470418685,80,24.1,79
2016-08-05 19:38,1470418687,80,24.1,47
2016-08-05 19:38,1470418689,80,24.1,68
2016-08-05 19:38,1470418691,80,24.1,71
2016-08-05 19:38,1470418693,80,23.8,71
2016-08-05 19:38,1470418695,80,23.6,22
2016-08-05 19:38,1470418697,80,23.2,45
2016-08-05 19:38,1470418699,80,23,66
2016-08-05 19:38,1470418701,80,22.7,67
2016-08-05 19:38,1470418703,80,23.1,33
2016-08-05 19:38,1470418705,80,23.5,62
2016-08-05 19:38,1470418707,80,23.8,58
2016-08-05 19:38,1470418709,81,23.8,59
2016-08-05 19:38,1470418711,80,23.8,41
2016-08-05 19:38,1470418713,79,23.7,57
2016-08-05 19:38,1470418715,79,23.5,62
2016-08-05 19:38,1470418717,79,23.3,60
2016-08-05 19:38,1470418719,80,23.3,35
2016-08-05 19:38,1470418721,80,23.2,47
2016-08-05 19:38,1470418723,80,23,160
2016-08-05 19:38,1470418725,79,22.8,211
2016-08-05 19:38,1470418727,79,22.7,58
2016-08-05 19:38,1470418729,79,22.7,74
2016-08-05 19:38,1470418731,79,22.7,83
2016-08-05 19:38,1470418733,79,23,113
2016-08-05 19:38,1470418735,79,23,200
2016-08-05 19:38,1470418737,79,23,293
2016-08-05 19:38,1470418739,79,23,188
2016-08-05 19:39,1470418741,79,23,684
2016-08-05 19:39,1470418743,79,23,830
2016-08-05 19:39,1470418745,79,23,139
2016-08-05 19:39,1470418747,79,23,63
2016-08-05 19:39,1470418749,79,23,65
2016-08-05 19:39,1470418751,79,23,57
2016-08-05 19:39,1470418753,79,23,74
2016-08-05 19:39,1470418755,79,23,76
2016-08-05 19:39,1470418757,79,23,75
2016-08-05 19:39,1470418759,79,23,92
2016-08-05 19:39,1470418761,79,23,208
2016-08-05 19:39,1470418763,78,23.1,129
2016-08-05 19:39,1470418765,78,23.3,107
2016-08-05 19:39,1470418767,78,23.7,130
2016-08-05 19:39,1470418769,78,24,91
2016-08-05 19:39,1470418771,78,24.2,41
2016-08-05 19:39,1470418773,78,24.5,76
2016-08-05 19:39,1470418775,78,24.5,49
2016-08-05 19:39,1470418777,78,24.5,71
2016-08-05 19:39,1470418779,78,24.5,67
2016-08-05 19:39,1470418781,77,24.5,50
2016-08-05 19:39,1470418783,76,24.5,78
2016-08-05 19:39,1470418785,75,24.5,56
2016-08-05 19:39,1470418787,74,25,58
2016-08-05 19:39,1470418789,73,25,64
2016-08-05 19:39,1470418791,74,25.2,33
2016-08-05 19:39,1470418793,74,25.5,58
2016-08-05 19:39,1470418795,75,25.5,60
2016-08-05 19:39,1470418797,75,25.5,41
2016-08-05 19:39,1470418799,75,25.5,58
2016-08-05 19:40,1470418801,76,25.5,54
2016-08-05 19:40,1470418803,77,25.5,55
2016-08-05 19:40,1470418805,78,25.5,68
2016-08-05 19:40,1470418807,78,25,75
2016-08-05 19:40,1470418809,79,24,89
2016-08-05 19:40,1470418811,80,23,22
2016-08-05 19:40,1470418813,80,22.6,93
2016-08-05 19:40,1470418815,80,22.2,65
2016-08-05 19:40,1470418817,81,21.7,69
2016-08-05 19:40,1470418819,81,21.5,71
2016-08-05 19:40,1470418821,81,21.3,66
2016-08-05 19:40,1470418823,81,21.2,78
2016-08-05 19:40,1470418825,80,21.3,51
2016-08-05 19:40,1470418827,80,21.6,56
2016-08-05 19:40,1470418829,80,22,55
2016-08-05 19:40,1470418831,80,22.3,54
2016-08-05 19:40,1470418833,79,23.2,73
2016-08-05 19:40,1470418835,80,24.1,39
2016-08-05 19:40,1470418837,81,24.7,108
2016-08-05 19:40,1470418839,81,25.1,72
2016-08-05 19:40,1470418841,81,25.3,22
2016-08-05 19:40,1470418843,79,25.2,55
2016-08-05 19:40,1470418845,78,25.1,68
2016-08-05 19:40,1470418847,78,25.2,64
2016-08-05 19:40,1470418849,77,25.3,64
2016-08-05 19:40,1470418851,77,25.5,75
2016-08-05 19:40,1470418853,77,25.5,66
2016-08-05 19:40,1470418855,76,25.5,39
2016-08-05 19:40,1470418857,75,25.5,70
2016-08-05 19:40,1470418859,74,25.5,61
2016-08-05 19:41,1470418861,75,25.5,57
2016-08-05 19:41,1470418863,76,25.5,60
2016-08-05 19:41,1470418865,76,25.5,43
2016-08-05 19:41,1470418867,76,25.5,89
2016-08-05 19:41,1470418869,76,25.5,68
2016-08-05 19:41,1470418871,75,25.5,64
2016-08-05 19:41,1470418873,72,25.5,27
2016-08-05 19:41,1470418875,66,25.5,63
2016-08-05 19:41,1470418877,57,25.5,66
2016-08-05 19:41,1470418879,50,25.5,32
2016-08-05 19:41,1470418881,46,25.5,54
2016-08-05 19:41,1470418883,46,25.3,58
2016-08-05 19:41,1470418885,46,25,68
2016-08-05 19:41,1470418887,46,24.5,69
2016-08-05 19:41,1470418889,46,24,30
2016-08-05 19:41,1470418891,47,23.6,43
2016-08-05 19:41,1470418893,47,23.2,65
2016-08-05 19:41,1470418895,47,23.1,38
2016-08-05 19:41,1470418897,47,23,50
2016-08-05 19:41,1470418899,47,23,58
2016-08-05 19:41,1470418901,46,22.7,66
2016-08-05 19:41,1470418903,46,22.7,31
2016-08-05 19:41,1470418905,46,22.5,53
2016-08-05 19:41,1470418907,45,22.3,64
2016-08-05 19:41,1470418909,45,22.2,28
2016-08-05 19:41,1470418911,44,22.2,254
2016-08-05 19:41,1470418913,44,22.2,382
2016-08-05 19:41,1470418915,44,22.2,67
2016-08-05 19:41,1470418917,44,22.2,59
2016-08-05 19:41,1470418919,44,22.2,84
2016-08-05 19:42,1470418921,44,22.2,83
2016-08-05 19:42,1470418923,44,22.2,52
2016-08-05 19:42,1470418925,44,22.2,92
2016-08-05 19:42,1470418927,44,22.2,53
2016-08-05 19:42,1470418929,44,22.2,50
2016-08-05 19:42,1470418931,44,22.2,65
2016-08-05 19:42,1470418933,44,22.2,49
2016-08-05 19:42,1470418935,44,22.3,65
2016-08-05 19:42,1470418937,44,22.6,80
2016-08-05 19:42,1470418939,44,22.8,72
2016-08-05 19:42,1470418941,44,23.2,69
2016-08-05 19:42,1470418943,44,23.6,27
2016-08-05 19:42,1470418945,43,23.7,52
2016-08-05 19:42,1470418947,43,23.7,61
2016-08-05 19:42,1470418949,43,23.5,50
2016-08-05 19:42,1470418951,43,23.3,52
2016-08-05 19:42,1470418953,43,23.2,72
2016-08-05 19:42,1470418955,43,23,66
2016-08-05 19:42,1470418957,43,22.7,87
2016-08-05 19:42,1470418959,43,22.7,50
2016-08-05 19:42,1470418961,43,22.6,36
2016-08-05 19:42,1470418963,43,22.6,91
2016-08-05 19:42,1470418965,44,22.6,58
2016-08-05 19:42,1470418967,44,22.7,73
2016-08-05 19:42,1470418969,44,22.8,31
2016-08-05 19:42,1470418971,44,23.1,69
2016-08-05 19:42,1470418973,43,23.2,35
2016-08-05 19:42,1470418975,42,23.2,52
2016-08-05 19:42,1470418977,42,23.2,67
2016-08-05 19:42,1470418979,42,23.2,50
2016-08-05 19:43,1470418981,42,23.2,41
2016-08-05 19:43,1470418983,43,23.1,64
2016-08-05 19:43,1470418985,43,22.8,60
2016-08-05 19:43,1470418987,43,22.6,40
2016-08-05 19:43,1470418989,43,22.2,66
2016-08-05 19:43,1470418991,43,21.8,46
2016-08-05 19:43,1470418993,44,21.7,53
2016-08-05 19:43,1470418995,44,21.6,53
2016-08-05 19:43,1470418997,44,21.5,55
2016-08-05 19:43,1470418999,45,21.2,51
2016-08-05 19:43,1470419001,46,21,57
2016-08-05 19:43,1470419003,47,20.7,63
2016-08-05 19:43,1470419005,47,20.5,40
